seed,sample_index,initial_range_m,initial_closing_speed_mps,camera_azimuth_deg,camera_elevation_deg,camera_u_fraction,camera_v_fraction,image_plane_bucket,camera_elevation_bucket,camera_azimuth_bucket,ivbs_caught,beihang_caught,outcome_class,ivbs_min_distance_m,beihang_min_distance_m,ivbs_visible_fraction,beihang_visible_fraction,ivbs_control_effort,beihang_control_effort,visibility_bucket,closing_bucket
1,0,4.999999816737462,0.4747648713839588,55.96751451221598,10.223864353727551,0.19355789496822487,-0.4636799946078126,mid,level,front_right,False,False,shared_miss,1.1197506189346313,1.354297161102295,0.095,0.07166666666666667,5.373365149896676,9.38631727358014,02_0.05_0.10,02_ge_0.45
2,1,5.000000022185225,0.3769593273096812,318.5120636180992,-44.15424177715403,-0.8651380276546025,0.1806742362094425,edge,down,front_left,False,False,shared_miss,3.11396861076355,3.0976474285125732,0.05,0.05,13.548194634712043,12.61971981977879,02_0.05_0.10,01_0.35_0.45
3,2,4.99999996847668,0.4235108059345902,198.18243642450437,51.042307531548076,0.627002762422811,-0.04587060309607713,mid,up,rear_left,False,False,shared_miss,4.9862799644470215,4.986279010772705,0.075,0.05333333333333334,6.866485866656309,6.8511815641867315,02_0.05_0.10,01_0.35_0.45
4,3,5.000000011460196,0.43648035342097696,103.17148935706179,-20.152823709212583,-0.40522949829334004,0.6663806618956057,mid,level,rear_right,False,False,shared_miss,0.9481065273284912,1.2363402843475342,0.06666666666666667,0.085,12.54603422869316,9.61543006880331,02_0.05_0.10,01_0.35_0.45
5,4,4.999999960256707,0.41883533707537757,177.03864204650895,36.639962479152004,-0.5062610164075542,0.7116731467694725,edge,up,rear_right,False,False,shared_miss,4.97953462600708,4.781489849090576,0.04833333333333333,0.04,5.806295312126942,6.270366122862787,01_0.02_0.05,01_0.35_0.45
6,5,5.000000201294571,0.46756175413472095,259.2289289873127,-1.7674267148284393,0.2851479145222589,-0.4321760850591175,mid,level,rear_left,True,True,shared_catch,0.499340683221817,0.49851101636886597,0.141280353200883,0.14903846153846154,2.5161587389971407,2.6189777040235427,03_ge_0.10,02_ge_0.45
7,6,5.000000074271181,0.4938714215053679,302.0277089545568,26.607313933325067,-0.07501322528652132,0.24090798269545508,center,level,front_left,False,False,shared_miss,4.971070289611816,2.5111184120178223,0.06166666666666667,0.05,3.5248718757141053,6.589503277616249,02_0.05_0.10,02_ge_0.45
8,7,4.999999926112571,0.372429497381098,27.365535942609327,-68.09485916934182,0.7463742576784709,-0.857895642156797,edge,down,front_right,False,False,shared_miss,3.2911195755004883,3.2994096279144287,0.045,0.035,15.472756762859257,14.866933060967515,01_0.02_0.05,01_0.35_0.45
9,8,4.9999999545471825,0.4905624370750286,21.55716647624601,80.37201223369041,-0.11336087252556158,-0.27926307994399635,center,up,front_right,False,False,shared_miss,4.989124298095703,4.989124298095703,0.08833922261484099,0.08666666666666667,8.486006968430573,9.1259466093047,02_0.05_0.10,02_ge_0.45
10,9,4.999999952778853,0.36308357281033576,285.334615507341,-22.81808366778609,0.7915334562849936,0.8997683792722075,edge,level,front_left,False,False,shared_miss,1.791439414024353,1.6842143535614014,0.08666666666666667,0.065,6.309669641091054,6.919853811187781,02_0.05_0.10,01_0.35_0.45
